feature,importance,rank
auth_month_diff_mean,3217.6,1
auth_purchase_date_max,3177.0,2
new_purchase_date_max,3164.8,3
new_purchase_amount_max,2618.8,4
new_purchase_month_mean,2288.6,5
new_purchase_date_ptp,2168.2,6
hist_month_diff_mean,1986.6,7
new_month_lag_mean,1869.4,8
new_purchase_day_mean,1676.2,9
purchase_amount_max_mean,1660.0,10
auth_month_lag_mean,1654.2,11
auth_purchase_date_ptp,1608.8,12
new_purchase_date_min,1582.4,13
auth_category_1_sum,1443.6,14
auth_purchase_month_std,1411.6,15
auth_purchase_date_min,1404.6,16
auth_category_1_mean,1368.0,17
index,1323.2,18
new_purchase_amount_std,1313.4,19
hist_installments_sum,1273.6,20
authorized_flag_mean,1261.6,21
month_lag_std,1212.8,22
purchase_amount_count_mean,1207.2,23
hist_purchase_amount_sum,1184.4,24
elapsed_time,1179.0,25
hist_category_1_sum,1162.6,26
kil_feature,1157.0,27
auth_purchase_amount_min,1146.2,28
auth_merchant_id_nunique,1143.0,29
new_purchase_amount_sum,1130.8,30
auth_purchase_day_std,1125.6,31
auth_purchase_day_mean,1111.6,32
auth_month_lag_std,1108.2,33
hist_purchase_amount_min,1080.2,34
purchase_amount_std_std,1078.8,35
new_purchase_day_std,1058.2,36
hist_purchase_date_max,1046.2,37
hist_purchase_date_min,1024.4,38
month_lag_mean,1012.8,39
auth_purchase_amount_sum,965.2,40
last_purchase_amount_mean,955.6,41
new_purchase_day_max,933.8,42
auth_purchase_dayofweek_mean,928.2,43
hist_purchase_dayofweek_std,920.8,44
auth_purchase_month_mean,909.0,45
auth_purchase_dayofweek_std,902.0,46
installments_purchase_amount_min,897.0,47
hist_transactions_count,883.2,48
new_category_1_mean,879.8,49
hist_purchase_day_std,879.6,50
purchase_amount_std_mean,879.4,51
hist_purchase_date_ptp,868.6,52
purchase_amount_min_std,850.2,53
hist_purchase_amount_std,825.6,54
purchase_amount_mean_mean,823.8,55
city_id_purchase_amount_max,822.4,56
auth_purchase_amount_mean,817.2,57
auth_transactions_count,815.8,58
purchase_amount_min_mean,814.2,59
hist_month_lag_mean,802.6,60
auth_installments_sum,801.4,61
hist_purchase_day_mean,796.2,62
new_purchase_month_std,769.0,63
new_purchase_dayofweek_std,766.0,64
hist_purchase_amount_mean,763.6,65
category_1_purchase_amount_min,762.4,66
auth_merchant_category_id_nunique,752.6,67
new_purchase_day_min,746.4,68
auth_category_3_B_mean,744.0,69
new_merchant_category_id_nunique,733.6,70
new_purchase_amount_min,728.2,71
hist_purchase_dayofweek_mean,720.4,72
