feature,importance,rank
auth_month_diff_mean,3106.4,1
auth_purchase_date_max,2982.8,2
new_purchase_date_max,2813.0,3
new_purchase_amount_max,2528.4,4
hist_month_diff_mean,2268.0,5
new_purchase_month_mean,2055.4,6
new_purchase_date_ptp,2034.0,7
auth_purchase_date_ptp,1851.8,8
new_month_lag_mean,1760.0,9
purchase_amount_max_mean,1713.0,10
auth_month_lag_mean,1543.2,11
new_purchase_day_mean,1535.2,12
new_purchase_date_min,1418.0,13
auth_purchase_month_std,1363.2,14
auth_category_1_sum,1338.2,15
auth_purchase_date_min,1306.0,16
new_purchase_amount_std,1254.8,17
auth_category_1_mean,1232.2,18
month_lag_std,1184.8,19
hist_installments_sum,1148.6,20
purchase_amount_count_mean,1148.4,21
authorized_flag_mean,1142.4,22
auth_month_lag_std,1126.2,23
hist_purchase_amount_sum,1091.6,24
auth_merchant_id_nunique,1089.4,25
new_purchase_amount_sum,1079.8,26
auth_purchase_amount_min,1075.0,27
auth_purchase_day_std,1063.2,28
hist_purchase_amount_min,1047.2,29
purchase_amount_std_std,1034.0,30
elapsed_time,1029.4,31
hist_category_1_sum,1007.6,32
auth_purchase_day_mean,1001.8,33
hist_purchase_date_max,1000.2,34
month_lag_mean,992.6,35
hist_purchase_date_min,983.2,36
auth_purchase_amount_sum,949.2,37
new_purchase_day_std,925.8,38
purchase_amount_mean_mean,909.8,39
hist_purchase_dayofweek_std,876.0,40
auth_purchase_dayofweek_mean,866.4,41
hist_purchase_day_std,857.0,42
auth_purchase_month_mean,857.0,43
installments_purchase_amount_min,853.0,44
auth_purchase_amount_mean,833.4,45
new_purchase_day_max,831.2,46
hist_purchase_date_ptp,830.0,47
auth_purchase_dayofweek_std,819.0,48
hist_transactions_count,814.4,49
purchase_amount_std_mean,813.6,50
auth_transactions_count,812.2,51
new_category_1_mean,811.6,52
purchase_amount_min_mean,805.4,53
city_id_purchase_amount_max,793.0,54
purchase_amount_min_std,787.8,55
hist_purchase_amount_std,784.2,56
hist_month_lag_mean,760.6,57
hist_purchase_amount_mean,752.0,58
auth_installments_sum,747.4,59
hist_purchase_day_mean,744.2,60
new_purchase_dayofweek_std,742.2,61
new_purchase_day_min,722.4,62
auth_merchant_category_id_nunique,705.4,63
new_merchant_category_id_nunique,703.0,64
hist_purchase_amount_max,695.0,65
new_purchase_amount_min,690.4,66
new_purchase_month_std,687.0,67
purchase_amount_max_std,683.2,68
category_1_purchase_amount_min,676.4,69
city_id_purchase_amount_min,675.4,70
auth_category_2_1.0_mean,665.0,71
auth_category_3_B_mean,662.6,72
installments_sum_mean,662.0,73
hist_purchase_dayofweek_mean,654.8,74
purchase_amount_mean_std,654.4,75
installments_std_std,643.2,76
hist_purchase_month_std,637.2,77
hist_month_lag_std,633.2,78
purchase_amount_sum_std,615.4,79
purchase_amount_count_std,603.0,80
hist_installments_std,577.8,81
new_transactions_count,574.0,82
new_category_3_B_mean,569.6,83
auth_is_weekend_std,565.8,84
hist_purchase_month_mean,561.6,85
purchase_amount_sum_mean,555.2,86
installments_sum_std,553.4,87
new_purchase_dayofweek_mean,542.2,88
city_id_purchase_amount_std,540.2,89
auth_is_weekend_mean,537.0,90
new_merchant_id_nunique,518.2,91
new_purchase_month_max,515.8,92
auth_category_3_C_mean,507.6,93
hist_category_3_B_mean,498.6,94
hist_category_1_mean,496.8,95
auth_purchase_amount_std,490.4,96
hist_purchase_day_min,478.2,97
auth_purchase_amount_max,477.2,98
auth_subsector_id_nunique,470.0,99
new_purchase_amount_mean,465.8,100
city_id_purchase_amount_mean,463.0,101
installments_purchase_amount_max,460.4,102
hist_is_weekend_std,456.0,103
hist_purchase_day_max,451.6,104
auth_city_id_nunique,429.6,105
installments_std_mean,424.4,106
feature_1,421.2,107
new_month_lag_std,392.6,108
hist_installments_mean,391.2,109
new_purchase_month_min,377.8,110
category_1_purchase_amount_max,377.4,111
new_category_1_sum,375.4,112
installments_mean_std,372.8,113
hist_category_2_1.0_mean,371.6,114
installments_max_mean,358.0,115
new_subsector_id_nunique,357.4,116
new_is_weekend_std,355.6,117
new_month_diff_mean,352.2,118
category_1_purchase_amount_mean,347.2,119
installments_min_std,346.2,120
installments_purchase_amount_mean,343.2,121
hist_is_weekend_mean,338.8,122
installments_max_std,338.0,123
feature_2,328.2,124
installments_mean_mean,327.4,125
installments_purchase_amount_std,325.6,126
new_installments_std,325.4,127
category_1_installments_std,320.2,128
auth_installments_mean,319.8,129
category_1_purchase_amount_std,318.2,130
auth_installments_std,291.2,131
new_installments_sum,288.8,132
installments_count_mean,280.8,133
installments_min_mean,272.0,134
auth_purchase_day_max,250.0,135
hist_merchant_category_id_nunique,247.4,136
auth_purchase_month_max,241.4,137
hist_merchant_id_nunique,230.8,138
hist_category_3_A_mean,230.0,139
hist_category_3_C_mean,225.4,140
auth_purchase_month_min,224.6,141
hist_subsector_id_nunique,217.6,142
auth_month_lag_max,213.2,143
hist_state_id_nunique,210.2,144
auth_state_id_nunique,206.2,145
new_is_weekend_mean,206.0,146
new_category_2_1.0_mean,205.6,147
hist_month_lag_min,205.6,148
category_1_installments_min,194.0,149
auth_category_2_4.0_mean,188.2,150
auth_month_lag_min,188.2,151
new_purchase_dayofweek_min,179.4,152
auth_purchase_day_min,179.0,153
new_installments_mean,176.4,154
auth_category_2_5.0_mean,175.6,155
new_purchase_dayofweek_max,166.2,156
new_installments_min,155.0,157
hist_month_lag_max,153.6,158
hist_city_id_nunique,152.6,159
new_month_lag_max,150.8,160
category_1_installments_mean,146.2,161
installments_count_std,143.0,162
hist_purchase_dayofweek_min,132.0,163
auth_category_2_3.0_mean,130.4,164
hist_purchase_dayofweek_max,129.6,165
hist_purchase_month_max,129.6,166
hist_installments_max,125.6,167
feature_3,119.2,168
category_1_installments_max,117.8,169
new_category_3_C_mean,117.6,170
hist_purchase_month_min,113.8,171
new_installments_max,108.2,172
auth_installments_min,94.0,173
auth_installments_max,93.6,174
auth_category_2_2.0_mean,87.8,175
hist_category_2_3.0_mean,81.8,176
hist_category_2_5.0_mean,76.2,177
new_city_id_nunique,68.2,178
new_month_lag_min,60.6,179
hist_category_2_4.0_mean,60.4,180
new_state_id_nunique,56.0,181
new_category_2_4.0_mean,46.4,182
new_category_3_A_mean,44.8,183
new_category_2_5.0_mean,44.6,184
hist_category_2_2.0_mean,42.8,185
new_category_2_3.0_mean,42.0,186
hist_installments_min,38.6,187
new_category_2_2.0_mean,31.4,188
auth_purchase_dayofweek_max,24.8,189
auth_purchase_dayofweek_min,18.6,190
new_is_weekend_max,2.0,191
auth_category_3_A_mean,1.8,192
hist_is_weekend_max,1.4,193
new_is_weekend_min,1.0,194
auth_is_weekend_max,0.4,195
auth_is_weekend_min,0.0,196
hist_is_weekend_min,0.0,197
